"Delivery Start Date","고객 이름","Order No","Order Create Date",상품명,SKU,"Order Money",수량,결제방법,세금,"Refund Date","Refund Money"
"2024. 6. 14. 오후 5:02:52","1_ 88마트 _R",000004769,"2024. 6. 14. 오후 4:58:30","ปลาทับทิม ใหญ่700G~UP",00001348,"₩177,000.00",3,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 5:02:52","1_ 88마트 _R",000004769,"2024. 6. 14. 오후 4:58:30",วุ้นเส้นเล็ก,00000576,"₩112,500.00",1,"Bank Deposit - Tosspayments ","₩10,227.27",,₩0.00
"2024. 6. 14. 오후 5:02:52","1_ 88마트 _R",000004769,"2024. 6. 14. 오후 4:58:30",ผงชูรสใหญ่,00000504,"₩124,000.00",1,"Bank Deposit - Tosspayments ","₩11,272.73",,₩0.00
"2024. 6. 14. 오후 4:00:48","1_카오산태국쌀국수_양산점 _R",3000001238,"2024. 6. 14. 오후 3:47:08",로띠무(대)(ROTDEEMOO-400G),00000144,"₩3,800.00",1,"Tosspayments 가상 계좌",₩345.45,,₩0.00
"2024. 6. 14. 오후 4:00:48","1_카오산태국쌀국수_양산점 _R",3000001238,"2024. 6. 14. 오후 3:47:08",라임쥬스(MM),1648715199,"₩2,400.00",2,"Tosspayments 가상 계좌",₩218.18,,₩0.00
"2024. 6. 14. 오후 4:00:48","1_카오산태국쌀국수_양산점 _R",3000001238,"2024. 6. 14. 오후 3:47:08",숏부카오통(그린캡)(대)(SAUCEPUKAOTONG),00000410,"₩4,600.00",1,"Tosspayments 가상 계좌",₩418.18,,₩0.00
"2024. 6. 14. 오후 4:00:48","1_카오산태국쌀국수_양산점 _R",3000001238,"2024. 6. 14. 오후 3:47:08","씨유카오(씬소이소스)(대)(CHEE EIW KAW)",00000498,"₩4,200.00",1,"Tosspayments 가상 계좌",₩381.82,,₩0.00
"2024. 6. 14. 오후 4:00:48","1_카오산태국쌀국수_양산점 _R",3000001238,"2024. 6. 14. 오후 3:47:08",찬타부리쌀국수(CHANTHABURI),00002609,"₩51,300.00",1,"Tosspayments 가상 계좌","₩4,663.64",,₩0.00
"2024. 6. 14. 오후 4:00:48","1_카오산태국쌀국수_양산점 _R",3000001238,"2024. 6. 14. 오후 3:47:08","후티코(BICH CHI)",00001542,"₩45,000.00",15,"Tosspayments 가상 계좌","₩4,090.95",,₩0.00
"2024. 6. 14. 오후 4:00:47","1_ 쿤매래누 _R",000004763,"2024. 6. 14. 오후 3:41:16",ดักแด้แช่แข็ง,1652329477,"₩23,000.00",5,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 4:00:47","1_ 쿤매래누 _R",000004763,"2024. 6. 14. 오후 3:41:16",หางหมู,00001605,"₩19,000.00",5,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 4:00:47","1_ 쿤매래누 _R",000004763,"2024. 6. 14. 오후 3:41:16",ตั๊กแตน,1669792424,"₩48,000.00",10,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 4:00:47","1_ 쿤매래누 _R",000004763,"2024. 6. 14. 오후 3:41:16",เมล็ดแตงโม,00002892,"₩25,000.00",10,"Bank Deposit - Tosspayments ","₩2,272.70",,₩0.00
"2024. 6. 14. 오후 4:00:47","1_ 쿤매래누 _R",000004763,"2024. 6. 14. 오후 3:41:16",เมล็ดฟักทอง,00002894,"₩25,000.00",10,"Bank Deposit - Tosspayments ","₩2,272.70",,₩0.00
"2024. 6. 14. 오후 3:16:40","태국식당 _R",000004759,"2024. 6. 14. 오후 3:03:05",หน่อไม้กระป๋อง,00001170,"₩34,000.00",1,"Bank Deposit - Tosspayments ","₩3,090.91",,₩0.00
"2024. 6. 14. 오후 3:16:40","태국식당 _R",000004759,"2024. 6. 14. 오후 3:03:05",กะทิชาวเกาะแพ็ค1000,00003179,"₩45,600.00",1,"Bank Deposit - Tosspayments ","₩4,145.45",,₩0.00
"2024. 6. 14. 오후 3:16:40","태국식당 _R",000004759,"2024. 6. 14. 오후 3:03:05",น้ำปลาทิพรส,00000767,"₩21,600.00",1,"Bank Deposit - Tosspayments ","₩1,963.64",,₩0.00
"2024. 6. 14. 오후 3:16:40","태국식당 _R",000004759,"2024. 6. 14. 오후 3:03:05","ทิพรส (ขวดเล็ก 300 ml)",1689991762,"₩31,200.00",1,"Bank Deposit - Tosspayments ","₩2,836.36",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03","น้ำมะขามเข้มข้น Ocean Food",1669690232,"₩16,800.00",7,"Bank Deposit - Tosspayments ","₩1,527.26",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03",น้ำจิ้มไก่แม่ประนอม,00001459,"₩14,000.00",5,"Bank Deposit - Tosspayments ","₩1,272.75",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03",พริกแช่แข็งแบบกิโล,00001743,"₩29,000.00",5,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03",วุ้นเส้นเล็ก,00000890,"₩11,800.00",2,"Bank Deposit - Tosspayments ","₩1,072.72",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03",นมคาเนชั่น,00000751,"₩14,000.00",7,"Bank Deposit - Tosspayments ","₩1,272.74",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03",น้ำแดงเฮลบลูบอย,00001725,"₩26,000.00",4,"Bank Deposit - Tosspayments ","₩2,363.64",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03","ปลาส้มสวาย ตัด (เปี่ยมสุข)",1685666922,"₩11,000.00",2,"Bank Deposit - Tosspayments ","₩1,000.00",,₩0.00
"2024. 6. 14. 오후 2:21:00","1_ 타이농카이 _R",000004752,"2024. 6. 14. 오후 2:13:03","ปลาส้มตัว (เปี่ยมสุข)",1685666636,"₩11,000.00",2,"Bank Deposit - Tosspayments ","₩1,000.00",,₩0.00
"2024. 6. 14. 오후 2:42:53","NamNam _R",000004751,"2024. 6. 14. 오후 2:08:06",ข้าวเหนียว,00002833,"₩29,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 2:42:52","나나 _R",000004750,"2024. 6. 14. 오후 2:04:29",หมูปิ้ง,00003177,"₩93,000.00",1,"Bank Deposit - Tosspayments ","₩8,454.55",,₩0.00
"2024. 6. 14. 오후 2:42:52","나나 _R",000004750,"2024. 6. 14. 오후 2:04:29",ปลาร้าถุง(S),00002669,"₩40,000.00",1,"Bank Deposit - Tosspayments ","₩3,636.36",,₩0.00
"2024. 6. 14. 오전 11:50:17","AOD _R",000004743,"2024. 6. 14. 오전 11:45:21","น้ำปลาร้า แม่บุญล้ำฝาเหลือง",1611145388,"₩6,300.00",3,"Bank Deposit - Tosspayments ",₩572.73,,₩0.00
"2024. 6. 14. 오전 11:50:17","AOD _R",000004743,"2024. 6. 14. 오전 11:45:21",ปลาดุกใหญ่,00001727,"₩5,300.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오후 1:40:45","NamNam _R",000004739,"2024. 6. 14. 오전 10:52:41",ข้าวหอมมะลิ,00000845,"₩42,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",พริกแช่แข็งแบบกิโล,00001743,"₩34,800.00",6,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",น้ำเย็นตาโฟ,1630894849,"₩26,400.00",6,"Bank Deposit - Tosspayments ","₩2,400.00",,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",ไก่จ้อ,1649319130,"₩13,000.00",2,"Bank Deposit - Tosspayments ","₩1,181.82",,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50","ลูกชิ้นหมูแท้ ข",1665724799,"₩21,200.00",2,"Bank Deposit - Tosspayments ","₩1,927.28",,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50","รสดีหมูใหญ่ 400 กรัม",00000144,"₩7,600.00",2,"Bank Deposit - Tosspayments ",₩690.90,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",เต้าหู้ปลาเยาวราชเซี่ยงไฮ้,1693960424,"₩10,000.00",2,"Bank Deposit - Tosspayments ",₩909.10,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",ไส้กรอกไก่,00003275,"₩21,500.00",5,"Bank Deposit - Tosspayments ","₩1,954.55",,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",สะตอแช่แข็ง,00000380,"₩10,000.00",2,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",คนอก้อนรสหมู,00000787,"₩16,800.00",1,"Bank Deposit - Tosspayments ","₩1,527.27",,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",ลูกชิด,00000078,"₩8,400.00",2,"Bank Deposit - Tosspayments ",₩763.64,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",ปลาร้าไมค์,00002393,"₩5,000.00",2,"Bank Deposit - Tosspayments ",₩454.54,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50","พริกแกงเผ็ด 500 กรัม",1632790878,"₩4,000.00",1,"Bank Deposit - Tosspayments ",₩363.64,,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",เส้นขนมจีนสีเขียว,00000348,"₩17,000.00",10,"Bank Deposit - Tosspayments ","₩1,545.50",,₩0.00
"2024. 6. 14. 오전 10:16:11","1_ 남차타이레스토 _R",000004733,"2024. 6. 14. 오전 9:59:50",ข้าวเหนียว,00002833,"₩29,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
