"Delivery Start Date","고객 이름","Order No","Order Create Date",상품명,SKU,"Order Money",수량,결제방법,세금,"Refund Date","Refund Money"
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11",มะม่วง,00001697,"₩37,000.00",1,"Bank Deposit - Tosspayments ",₩0.00,,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11","ปลาเส้นทาโร่ บาบิคิว",00001316,"₩11,000.00",5,"Bank Deposit - Tosspayments ","₩1,000.00",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11","ปลาเส้นทาโร่ รสปู",00001336,"₩11,000.00",5,"Bank Deposit - Tosspayments ","₩1,000.00",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11","ปลาเส้นทาโร่ รสพริกสด",1671767560,"₩11,000.00",5,"Bank Deposit - Tosspayments ","₩1,000.00",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11","ลูกอมรสใบเตย(PARNDAN CANDY)",00004259,"₩6,000.00",3,"Bank Deposit - Tosspayments ",₩545.46,,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11",น้ำตาลปิ๊ปสีแดง,1663230216,"₩30,000.00",1,"Bank Deposit - Tosspayments ","₩2,727.27",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11",เมล็ดแตงโม,00002892,"₩15,000.00",6,"Bank Deposit - Tosspayments ","₩1,363.62",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11","โอเลี้ยง(OLIENG C-CON)",00004263,"₩13,200.00",6,"Bank Deposit - Tosspayments ","₩1,200.00",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11",ขนมฮานามิ(original),1630895043,"₩11,700.00",6,"Bank Deposit - Tosspayments ","₩1,063.62",,₩0.00
"2024. 3. 15. 오후 5:00:29","S23153_Y_R 남차타이레스토 S23153_Y_R 남차타이레스토",000000925,"2024. 3. 15. 오후 4:42:11",ขนมสแน็คแจ๊ค(original),1630894726,"₩11,700.00",6,"Bank Deposit - Tosspayments ","₩1,063.62",,₩0.00
